point_id,year,c/n [-],humus [%],organic_carbon [%],total_nitrogen [%]
223,2000,8.1,1.36,0.79,0.098
223,2005,8.2,1.2,0.7,0.085
223,2010,9.6,1.29,0.75,0.078
223,2015,5.8,1.31,0.76,0.13
223,2020,14.08,3.15,1.83,0.13
225,1995,12.0,1.65,0.96,0.08
225,2000,11.8,1.83,1.06,0.09
225,2005,10.9,1.67,0.97,0.089
225,2010,12.1,1.79,1.04,0.086
225,2015,9.9,1.71,0.99,0.1
225,2020,6.36,1.21,0.7,0.11
229,1995,12.6,1.61,0.93,0.074
229,2000,12.6,1.41,0.82,0.065
229,2005,13.7,1.42,0.82,0.06
229,2010,10.5,1.48,0.86,0.082
229,2015,7.4,1.28,0.74,0.1
229,2020,5.0,0.86,0.5,0.1
