,Name,Code,Value,coordinates,lat,lon
150169992,"BYCZEŃ,Poland",Nysa Kłodzka (12),470,"(50.5220162, 16.9047412)",50.5220162, 16.9047412
150170060,"NYSA,Poland",Nysa Kłodzka (12),480,"(50.4738029, 17.3324733)",50.4738029, 17.3324733
150170100,"KOPICE,Poland",Nysa Kłodzka (12),481,"(51.5436111, 17.5047222)",51.5436111, 17.5047222
150170140,"SKOROGOSZCZ,Poland",Nysa Kłodzka (12),490,"(50.760302, 17.6800464)",50.760302, 17.6800464
150160210,"WILKANÓW,Poland",Wilczka (1212),500,"(50.2508459, 16.6866414)",50.2508459, 16.6866414
150160150,"BYSTRZYCA KŁODZKA,Poland",Bystrzyca (1214),510,"(50.2968684, 16.652017)",50.2968684, 16.652017
150160230,"LĄDEK-ZDRÓJ,Poland",Biała Lądecka (1216),520,"(50.3458254, 16.8725948)",50.3458254, 16.8725948
150160200,"ŻELAZNO,Poland",Biała Lądecka (1216),530,"(50.371621, 16.6729932)",50.371621, 16.6729932
150160260,"BOLESŁAWÓW,Poland",Morawka (12162),540,"(51.8904651, 17.3086684)",51.8904651, 17.3086684
150160240,"BOLESŁAWÓW,Poland",Kamienica (121624),550,"(51.8904651, 17.3086684)",51.8904651, 17.3086684
150160110,"SZALEJÓW DOLNY,Poland",Bystrzyca Dusznicka (1218),560,"(50.4250496, 16.5840547)",50.4250496, 16.5840547
150160080,"TŁUMACZÓW,Poland",Ścinawka (122),570,"(50.55458, 16.4321101)",50.55458, 16.4321101
150160100,"GORZUCHÓW,Poland",Ścinawka (122),580,"(50.491291, 16.5752994)",50.491291, 16.5752994
150160270,"KAMIENIEC ZĄBKOWICKI,Poland",Budzówka (1232),590,"(50.5229139, 16.8736143)",50.5229139, 16.8736143
150170070,"GŁUCHOŁAZY,Poland",Biała Głuchołaska (1258),600,"(50.3170828, 17.3833809)",50.3170828, 17.3833809
150170050,"BIAŁA NYSKA,Poland",Biała Głuchołaska (1258),601,"(50.4359728, 17.306159)",50.4359728, 17.306159
150170120,"NIEMODLIN,Poland",Ścinawa Niemodlińska (128),610,"(50.6415925, 17.6211388)",50.6415925, 17.6211388
